MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/17/2025 2:11:35,1.16.3,FR1 Right,0,4.05,nan,1,Left,Left,1,0,0,0,nan,nan,0.06
9/17/2025 2:11:36,1.16.3,FR1 Right,0,4.05,nan,1,Left,Left,2,0,0,0,nan,nan,0.00
9/17/2025 2:11:37,1.16.3,FR1 Right,0,4.05,nan,1,Left,Left,3,0,0,0,nan,nan,0.00
9/17/2025 2:11:38,1.16.3,FR1 Right,0,4.05,nan,1,Left,Left,4,0,0,0,nan,nan,0.00
9/17/2025 2:11:40,1.16.3,FR1 Right,0,4.05,nan,1,Left,Left,5,0,0,0,nan,nan,0.16
9/17/2025 2:11:41,1.16.3,FR1 Right,0,4.05,nan,1,Left,Left,6,0,0,0,nan,nan,0.06
9/17/2025 2:11:42,1.16.3,FR1 Right,0,4.05,nan,1,Left,Left,7,0,0,0,nan,nan,0.07
9/17/2025 2:11:43,1.16.3,FR1 Right,0,4.05,nan,1,Left,Left,8,0,0,0,nan,nan,0.14
9/17/2025 2:11:50,1.16.3,FR1 Right,0,4.05,nan,1,Left,Left,9,0,0,0,nan,nan,0.00
9/17/2025 2:11:51,1.16.3,FR1 Right,0,4.05,nan,1,Left,Left,10,0,0,0,nan,nan,0.01
9/17/2025 2:11:52,1.16.3,FR1 Right,0,4.05,nan,1,Left,Left,11,0,0,0,nan,nan,0.11
9/17/2025 2:12:00,1.16.3,FR1 Right,0,4.05,nan,1,Left,Left,12,0,0,0,nan,nan,0.58
9/17/2025 2:12:01,1.16.3,FR1 Right,0,4.05,nan,1,Left,Left,13,0,0,0,nan,nan,0.12
9/17/2025 2:12:02,1.16.3,FR1 Right,0,4.05,nan,1,Left,Left,14,0,0,0,nan,nan,0.00
9/17/2025 2:12:03,1.16.3,FR1 Right,0,4.05,nan,1,Left,Left,15,0,0,0,nan,nan,0.00
